舰船名,别名,启用,稀有度@zh（类型：exact）,稀有度@en（类型：exact）,阵营@zh（类型：exact）,阵营@en（类型：exact）,舰种@zh（类型：exact）,舰种@en（类型：exact）,舰级@zh（类型：exact）,舰级@en（类型：exact）,建造时间@zh（类型：ordered）,实装活动@zh（类型：ordered）,实装活动@en（类型：ordered）
小猎兔犬,Beagle,是,普通,Normal,皇家,Royal Navy,驱逐,DD,A级／B级,A and B,00:20:00,无活动,No Event
大斗犬,Bulldog,是,普通,Normal,皇家,Royal Navy,驱逐,DD,A级／B级,A and B,00:20:00,无活动,No Event
彗星,Comet,是,普通,Normal,皇家,Royal Navy,驱逐,DD,C级,C,00:21:00,无活动,No Event
新月,Crescent,是,普通,Normal,皇家,Royal Navy,驱逐,DD,C级,C,00:21:00,无活动,No Event
小天鹅,Cygnet,是,普通,Normal,皇家,Royal Navy,驱逐,DD,C级,C,00:21:00,无活动,No Event
狐提,Foxhound,是,普通,Normal,皇家,Royal Navy,驱逐,DD,F级,F,00:24:00,无活动,No Event
命运女神,Fortune,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,F级,F,无法建造,无活动,No Event
格伦维尔,Grenville,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,G级,G,00:25:00,2019-01-24 复刻：凛冬王冠,2019-01-24 Winter's Crown
萤火虫,Glowworm,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,G级,G,无法建造,无活动,No Event
勇敢,Hardy,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,H级,H,00:26:00,2019-03-07 峡湾间的星辰,2019-03-07 Stars of the Shimmering Fjord
猎人,Hunter,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,H级,H,无法建造,2019-03-07 峡湾间的星辰,2019-03-07 Stars of the Shimmering Fjord
标枪,Javelin,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,J级,J,00:27:00,无活动,No Event
天后,Juno,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,J级,J,无法建造,无活动,No Event
吸血鬼,Vampire,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,旧V级,V,无法建造,2017-06-07 努力、希望和计划,"2017-06-07 Strive, Wish and Strategize"
丘比特,Jupiter,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,J级,J,00:27:00,无活动,No Event
泽西,Jersey,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,J级,J,00:27:00,无活动,No Event
无敌,Matchless,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,M级,M,无法建造,2018-02-26 凛冬王冠,2018-02-26 Winter's Crown
火枪手,Musketeer,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,M级,M,无法建造,2018-02-26 凛冬王冠,2018-02-26 Winter's Crown
回声,Echo,是,稀有,Rare,皇家,Royal Navy,驱逐,DD,E级,E,00:28:00,2019-05-23 铁血、音符&誓言,2019-05-23 Scherzo of Iron and Blood
爱斯基摩人,Eskimo,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,部族级,Tribal,00:29:00,2020-06-03 峡湾间的反击,2020-06-03 Counterattack Within the Fjord
伊卡洛斯,Icarus,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,I级,I,无法建造,2020-07-23 永夜幻光,2020-07-23 Aurora Noctis
贾维斯,Jervis,是,超稀有,Super Rare,皇家,Royal Navy,驱逐,DD,J级,J,00:27:00,2022-05-26 泠誓光庭,2022-05-26 Pledge of the Radiant Court
雅努斯,Janus,是,超稀有,Super Rare,皇家,Royal Navy,驱逐,DD,J级,J,00:27:00,2022-10-27 战斗！皇家女仆队3rd？,"2022-10-27 Fight On, Royal Maids! (Part 3)"
英雄,Hero,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,H级,H,无法建造,2023-02-23 湮烬尘墟,2023-02-23 Revelations of Dust
努比亚人,Nubian,是,超稀有,Super Rare,皇家,Royal Navy,驱逐,DD,部族级,Tribal,00:29:00,2024-03-28 从零开始的魔王讨伐之旅,2024-03-28 From Zero to Hero
特拉法尔加,Trafalgar,是,海上传奇,Ultra Rare,皇家,Royal Navy,驱逐,DD,战斗级,Battle,无法建造,2025-05-20 高塔上的蔷薇,2025-05-20 A Rose on the High Tower
勇气,Gallant,是,精锐,Elite,皇家,Royal Navy,驱逐,DD,G级,G,00:25:00,2025-05-20 高塔上的蔷薇,2025-05-20 A Rose on the High Tower
利安得,Leander,是,普通,Normal,皇家,Royal Navy,轻巡,CL,利安得级,Leander,01:15:00,无活动,No Event
阿基里斯,Achilles,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,利安得级,Leander,01:15:00,无活动,No Event
阿贾克斯,Ajax,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,利安得级,Leander,01:15:00,无活动,No Event
黛朵,Dido,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,00:55:00,2020-01-21 战斗！皇家女仆队2nd,"2020-01-21 Fight On, Royal Maids!"
南安普顿,Southampton,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,城级,Town,01:25:00,无活动,No Event
谢菲尔德,Sheffield,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,城级,Town,无法建造,2018-02-26 凛冬王冠,2018-02-26 Winter's Crown
曼彻斯特,Manchester,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,城级,Town,01:25:00,2022-10-27 战斗！皇家女仆队3rd？,"2022-10-27 Fight On, Royal Maids! (Part 3)"
格罗斯特,Gloucester,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,城级,Town,01:25:00,2020-01-21 战斗！皇家女仆队2nd,"2020-01-21 Fight On, Royal Maids!"
爱丁堡,Edinburgh,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,城级,Town,无法建造,无活动,No Event
贝尔法斯特,Belfast,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,城级,Town,01:25:00,无活动,No Event
阿瑞托莎,Arethusa,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,阿瑞托莎级,Arethusa,无法建造,无活动,No Event
加拉蒂亚,Galatea,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,阿瑞托莎级,Arethusa,无法建造,无活动,No Event
欧若拉,Aurora,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,阿瑞托莎级,Arethusa,01:20:00,无活动,No Event
斐济,Fiji,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,斐济级,Crown Colony,无法建造,2018-02-26 凛冬王冠,2018-02-26 Winter's Crown
牙买加,Jamaica,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,斐济级,Crown Colony,无法建造,2018-02-26 凛冬王冠,2018-02-26 Winter's Crown
小贝法,Little Bel,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,城级,Town,01:20:00,2018-04-26 第十二章-马里亚纳风云•上,2018-04-26 Operation Manjuu
纽卡斯尔,Newcastle,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,城级,Town,无法建造,2018-09-28 战斗！皇家女仆队,"2018-09-28 Fight On, Royal Maids!"
天狼星,Sirius,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,无法建造,2019-01-24 复刻：凛冬王冠,2019-01-24 Winter's Crown
库拉索,Curacoa,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,谷物女神级,Ceres,01:07:00,2019-01-31 闹腾嬉戏东煌春节,2019-01-31 Lunar New Year 2019
杓鹬,Curlew,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,谷物女神级,Ceres,01:07:00,2019-01-31 闹腾嬉戏东煌春节,2019-01-31 Lunar New Year 2019
确捷,Swiftsure,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,确捷级,Minotaur,01:25:00,无活动,No Event
黑太子,Black Prince,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,无法建造,无活动,No Event
谢菲尔德(μ兵装),Sheffield、Sheffield µ,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,城级,Town,无法建造,2019-10-31 激奏的Polaris,2019-10-31 Crescendo of Polaris
格拉斯哥,Glasgow,是,稀有,Rare,皇家,Royal Navy,轻巡,CL,城级,Town,01:25:00,无活动,No Event
赫敏,Hermione,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,00:55:00,2020-07-23 永夜幻光,2020-07-23 Aurora Noctis
黛朵(μ兵装),Dido、Dido µ,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,00:55:00,2020-10-29 激唱的UNIVERSE,2020-10-29 Universe in Unison
佩内洛珀,Penelope,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,阿瑞托莎级,Arethusa,01:20:00,无活动,No Event
卡律布狄斯,Charybdis,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,00:55:00,2022-01-27 演习神秘事件调查,2022-01-27 Happy Lunar New Year 2022
司战女神,Bellona,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,无法建造,2022-05-26 泠誓光庭,2022-05-26 Pledge of the Radiant Court
进取,Enterprise、Enterprise (Royal Navy),是,精锐,Elite,皇家,Royal Navy,轻巡,CL,翡翠级,Emerald,01:07:00,2022-06-30 来自鸢尾的天使,2022-06-30 Angel of the Iris
斯库拉,Scylla,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,00:55:00,2023-02-23 湮烬尘墟,2023-02-23 Revelations of Dust
利物浦,Liverpool,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,城级,Town,01:25:00,2024-03-28 从零开始的魔王讨伐之旅,2024-03-28 From Zero to Hero
克利奥佩特拉,Cleopatra,是,超稀有,Super Rare,皇家,Royal Navy,轻巡,CL,黛朵级,Dido,00:55:00,2025-05-20 高塔上的蔷薇,2025-05-20 A Rose on the High Tower
特立尼达,Trinidad,是,精锐,Elite,皇家,Royal Navy,轻巡,CL,斐济级,Crown Colony,无法建造,2025-05-20 高塔上的蔷薇,2025-05-20 A Rose on the High Tower
伦敦,London,是,精锐,Elite,皇家,Royal Navy,重巡,CA,郡级,County,01:30:00,无活动,No Event
什罗普郡,Shropshire,是,稀有,Rare,皇家,Royal Navy,重巡,CA,郡级,County,01:30:00,无活动,No Event
肯特,Kent,是,稀有,Rare,皇家,Royal Navy,重巡,CA,郡级,County,01:30:00,无活动,No Event
萨福克,Suffolk,是,稀有,Rare,皇家,Royal Navy,重巡,CA,郡级,County,01:30:00,无活动,No Event
诺福克,Norfolk,是,稀有,Rare,皇家,Royal Navy,重巡,CA,郡级,County,01:30:00,无活动,No Event
多塞特郡,Dorsetshire,是,精锐,Elite,皇家,Royal Navy,重巡,CA,郡级,County,01:30:00,无活动,No Event
约克,York,是,精锐,Elite,皇家,Royal Navy,重巡,CA,约克级,York,01:45:00,无活动,No Event
埃克塞特,Exeter,是,精锐,Elite,皇家,Royal Navy,重巡,CA,约克级,York,01:45:00,无活动,No Event
苏塞克斯,Sussex,是,稀有,Rare,皇家,Royal Navy,重巡,CA,郡级,County,01:30:00,无活动,No Event
小柴郡,Little Cheshire,是,精锐,Elite,皇家,Royal Navy,重巡,CA,柴郡级,Cheshire,无法建造,2022-05-26 泠誓光庭,2022-05-26 A Cookie For Mew!
德文郡,Devonshire,是,精锐,Elite,皇家,Royal Navy,重巡,CA,郡级,County,无法建造,2024-03-28 从零开始的魔王讨伐之旅,2024-03-28 From Zero to Hero
声望,Renown,是,精锐,Elite,皇家,Royal Navy,战巡,BC,声望级,Renown,04:10:00,无活动,No Event
反击,Repulse,是,稀有,Rare,皇家,Royal Navy,战巡,BC,声望级,Renown,04:10:00,无活动,No Event
胡德,Hood,是,超稀有,Super Rare,皇家,Royal Navy,战巡,BC,海军上将级,Admiral,05:50:00,无活动,No Event
小声望,Little Renown,是,精锐,Elite,皇家,Royal Navy,战巡,BC,声望级,Renown,04:10:00,2020-04-23 复刻：苍红的回响,2020-04-23 Little Royal Knight
伊丽莎白女王,Queen Elizabeth,是,精锐,Elite,皇家,Royal Navy,战列,BB,伊丽莎白女王级,Queen Elizabeth,04:10:00,无活动,No Event
厌战,Warspite,是,超稀有,Super Rare,皇家,Royal Navy,战列,BB,伊丽莎白女王级,Queen Elizabeth,04:10:00,无活动,No Event
纳尔逊,Nelson,是,精锐,Elite,皇家,Royal Navy,战列,BB,纳尔逊级,Nelson,04:40:00,无活动,No Event
罗德尼,Rodney,是,精锐,Elite,皇家,Royal Navy,战列,BB,纳尔逊级,Nelson,04:40:00,无活动,No Event
英王乔治五世,King George V,是,超稀有,Super Rare,皇家,Royal Navy,战列,BB,乔治五世级,King George V,04:50:00,2019-05-23 铁血、音符&誓言,2019-05-23 Scherzo of Iron and Blood
威尔士亲王,Prince of Wales,是,超稀有,Super Rare,皇家,Royal Navy,战列,BB,乔治五世级,King George V,无法建造,2017-06-07 努力、希望和计划,"2017-06-07 Strive, Wish and Strategize"
约克公爵,Duke of York,是,超稀有,Super Rare,皇家,Royal Navy,战列,BB,乔治五世级,King George V,无法建造,2018-02-26 凛冬王冠,2018-02-26 Winter's Crown
豪,Howe,是,超稀有,Super Rare,皇家,Royal Navy,战列,BB,乔治五世级,King George V,04:50:00,2020-07-23 永夜幻光,2020-07-23 Aurora Noctis
英勇,Valiant,是,精锐,Elite,皇家,Royal Navy,战列,BB,伊丽莎白女王级,Queen Elizabeth,04:10:00,2020-07-23 永夜幻光,2020-07-23 Aurora Noctis
复仇,Revenge,是,精锐,Elite,皇家,Royal Navy,战列,BB,复仇级,Revenge,04:10:00,2022-05-26 泠誓光庭,2022-05-26 Pledge of the Radiant Court
前卫,Vanguard,是,海上传奇,Ultra Rare,皇家,Royal Navy,战列,BB,前卫级,Vanguard,05:20:00,2022-05-26 泠誓光庭,2022-05-26 Pledge of the Radiant Court
皇家橡树,Royal Oak,是,超稀有,Super Rare,皇家,Royal Navy,战列,BB,复仇级,Revenge,04:10:00,2023-02-23 湮烬尘墟,2023-02-23 Revelations of Dust
狮,Lion,是,海上传奇,Ultra Rare,皇家,Royal Navy,战列,BB,狮级,Lion,06:20:00,2025-05-20 高塔上的蔷薇,2025-05-20 A Rose on the High Tower
竞技神,Hermes,是,普通,Normal,皇家,Royal Navy,轻航,CVL,竞技神级,Hermes,02:10:00,无活动,No Event
百眼巨人,Argus,是,精锐,Elite,皇家,Royal Navy,轻航,CVL,百眼巨人级,Argus,02:10:00,2023-02-23 湮烬尘墟,2023-02-23 Revelations of Dust
独角兽,Unicorn,是,精锐,Elite,皇家,Royal Navy,轻航,CVL,独角兽级,Unicorn,02:30:00,无活动,No Event
半人马,Centaur,是,超稀有,Super Rare,皇家,Royal Navy,轻航,CVL,半人马级,Centaur,03:00:00,无活动,No Event
追赶者,Chaser,是,精锐,Elite,皇家,Royal Navy,轻航,CVL,攻击者级,Attacker,无法建造,2019-01-31 闹腾嬉戏东煌春节,2019-01-31 Lunar New Year 2019
英仙座,Perseus,是,超稀有,Super Rare,皇家,Royal Navy,轻航,CVL,巨像级,Colossus,02:30:00,2020-07-23 永夜幻光,2020-07-23 Aurora Noctis
阿尔比恩,Albion,是,超稀有,Super Rare,皇家,Royal Navy,轻航,CVL,半人马级,Centaur,03:00:00,2022-10-27 战斗！皇家女仆队3rd？,"2022-10-27 Fight On, Royal Maids! (Part 3)"
忒修斯,Theseus,是,超稀有,Super Rare,皇家,Royal Navy,轻航,CVL,巨像级,Colossus,02:30:00,2023-01-18 冬日的寻路人,2023-01-18 Happy Lunar New Year 2023
鹰,Eagle,是,精锐,Elite,皇家,Royal Navy,航母,CV,鹰级,Eagle,02:00:00,2020-07-23 永夜幻光,2020-07-23 Aurora Noctis
皇家方舟,Ark Royal,是,精锐,Elite,皇家,Royal Navy,航母,CV,皇家方舟级,Ark Royal,04:00:00,无活动,No Event
光辉,Illustrious,是,超稀有,Super Rare,皇家,Royal Navy,航母,CV,光辉级,Illustrious,04:30:00,无活动,No Event
胜利,Victorious,是,超稀有,Super Rare,皇家,Royal Navy,航母,CV,光辉级,Illustrious,04:30:00,2018-02-26 凛冬王冠,2018-02-26 Winter's Crown
可畏,Formidable,是,超稀有,Super Rare,皇家,Royal Navy,航母,CV,光辉级,Illustrious,04:30:00,2019-09-11 神圣的悲喜剧,2019-09-11 Empyreal Tragicomedy
光荣,Glorious,是,精锐,Elite,皇家,Royal Navy,航母,CV,勇敢级,Courageous,无法建造,2017-10-26 万圣节之夜,2017-10-26 Glorious Battle
怨仇,Implacable,是,海上传奇,Ultra Rare,皇家,Royal Navy,航母,CV,怨仇级,Implacable,04:35:00,2023-02-23 湮烬尘墟,2023-02-23 Revelations of Dust
小光辉,Little Illustrious,是,精锐,Elite,皇家,Royal Navy,航母,CV,光辉级,Illustrious,04:30:00,2020-05-28 爱与和平的梦,2020-05-28 Dreams of Love and Peace
光辉(μ兵装),Illustrious、Illustrious µ,是,超稀有,Super Rare,皇家,Royal Navy,航母,CV,光辉级,Illustrious,无法建造,2020-10-29 激唱的UNIVERSE,2020-10-29 Universe in Unison
不挠,Indomitable,是,超稀有,Super Rare,皇家,Royal Navy,航母,CV,光辉级,Illustrious,04:30:00,2022-05-26 泠誓光庭,2022-05-26 Pledge of the Radiant Court
小可畏,Little Formidable,是,精锐,Elite,皇家,Royal Navy,航母,CV,光辉级,Illustrious,无法建造,2023-04-27 假日航线·再现,2023-04-27 Big Lessons for the Little Lady
可畏(μ兵装),Formidable、Formidable µ,是,超稀有,Super Rare,皇家,Royal Navy,航母,CV,光辉级,Illustrious,04:30:00,2024-04-25 共鸣的PASSION,2024-04-25 Heart-Linking Harmony
黑暗界,Erebus,是,精锐,Elite,皇家,Royal Navy,重炮,BM,黑暗界级,Erebus,01:00:00,无活动,No Event
恐怖,Terror,是,精锐,Elite,皇家,Royal Navy,重炮,BM,黑暗界级,Erebus,01:00:00,无活动,No Event
阿贝克隆比,Abercrombie,是,精锐,Elite,皇家,Royal Navy,重炮,BM,罗伯茨级,Roberts,01:05:00,无活动,No Event
海王星,Neptune,是,最高方案,Priority,皇家,Royal Navy,轻巡,CL,海王星级,Neptune,科研,2018-04-26 第十二章-马里亚纳风云•上,2018-04-26 Season 1
君主,Monarch,是,最高方案,Priority,皇家,Royal Navy,战列,BB,乔治五世级,Monarch,科研,2018-04-26 第十二章-马里亚纳风云•上,2018-04-26 Season 1
柴郡,Cheshire,是,最高方案,Priority,皇家,Royal Navy,重巡,CA,柴郡级,Cheshire,科研,2020-07-09 开发船坞,2020-07-09 Season 3
德雷克,Drake,是,决战方案,Decisive,皇家,Royal Navy,重巡,CA,丘吉尔型,Drake,科研,2020-07-09 开发船坞,2020-07-09 Season 3
普利茅斯,Plymouth,是,决战方案,Decisive,皇家,Royal Navy,轻巡,CL,爱丁堡级,Plymouth,科研,2022-07-14 轻量化复刻：蝶海梦花,2022-07-14 Season 5
吹雪,桐、Fubuki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,00:23:00,无活动,No Event
白雪,杉、Shirayuki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,00:23:00,2021-06-24 复刻：浮樱影华,2021-06-24 Swirling Cherry Blossoms Rerun
深雪,梧、Miyuki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,无法建造,2022-09-15 紫绛槿岚,"2022-09-15 Violet Tempest, Blooming Lycoris"
绫波,柚、Ayanami,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,00:23:00,无活动,No Event
晓,枫、Akatsuki,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,无法建造,2017-09-28 红染的参访者,2017-09-28 Visitors Dyed in Red
响,栀、Hibiki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,无法建造,2019-12-26 浮樱影华,2019-12-26 Swirling Cherry Blossoms
雷,梓、Ikazuchi,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,无法建造,无活动,No Event
电,柏、Inazuma,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,无法建造,无活动,No Event
白露,梿、Shiratsuyu,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,白露级,Shiratsuyu,无法建造,无活动,No Event
夕立,椿、Yūdachi、Yuudachi,是,超稀有,Super Rare,重樱,Sakura Empire,驱逐,DD,白露级,Shiratsuyu,无法建造,无活动,No Event
时雨,栴、Shigure,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,白露级,Shiratsuyu,无法建造,无活动,No Event
雪风,莲、Yukikaze,是,超稀有,Super Rare,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,无法建造,2019-03-22 第十三章-马里亚纳风云·下,2019-03-22 Visitors Dyed in Red Rerun
阳炎,萩、Kagerō、Kagerou,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,无法建造,无活动,No Event
不知火,蒲、Shiranui,是,普通,Normal,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,无法建造,无活动,No Event
野分,苓、Nowaki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,无法建造,2017-09-28 红染的参访者,2017-09-28 Visitors Dyed in Red
初春,梅、Hatsuharu,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,初春级,Hatsuharu,00:25:00,无活动,No Event
若叶,楉、Wakaba,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,初春级,Hatsuharu,00:25:00,无活动,No Event
初霜,檨、Hatsushimo,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,初春级,Hatsuharu,无法建造,2019-02-14 ❤情人节的小小心意❤,2019-02-14 The Solomon Ranger
有明,榎、Ariake,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,初春级,Hatsuharu,无法建造,无活动,No Event
夕暮,棭、Yūgure、Yuugure,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,初春级,Hatsuharu,00:25:00,无活动,No Event
黑潮,蓉、Kuroshio,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,00:27:00,2017-12-01 归来与新生,2017-12-01 The Return of the War God
亲潮,藮、Oyashio,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,00:27:00,2017-12-01 归来与新生,2017-12-01 The Return of the War God
岛风,芒、Shimakaze,是,海上传奇,Ultra Rare,重樱,Sakura Empire,驱逐,DD,岛风级,Shimakaze,00:30:00,2021-09-16 碧海光粼,2021-09-16 Upon the Shimmering Blue
神风,榊、Kamikaze,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,神风级,Kamikaze,00:20:00,无活动,No Event
松风,棡、Matsukaze,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,神风级,Kamikaze,00:20:00,无活动,No Event
睦月,松、Mutsuki,是,普通,Normal,重樱,Sakura Empire,驱逐,DD,睦月级,Mutsuki,00:21:00,无活动,No Event
如月,樟、Kisaragi,是,普通,Normal,重樱,Sakura Empire,驱逐,DD,睦月级,Mutsuki,00:21:00,无活动,No Event
卯月,楙、Uzuki,是,普通,Normal,重樱,Sakura Empire,驱逐,DD,睦月级,Mutsuki,00:21:00,无活动,No Event
水无月,杌、Minazuki,是,普通,Normal,重樱,Sakura Empire,驱逐,DD,睦月级,Mutsuki,无法建造,无活动,No Event
文月,橗、Fumizuki,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,睦月级,Mutsuki,00:21:00,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
长月,枨、Nagatsuki,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,睦月级,Mutsuki,无法建造,无活动,No Event
三日月,檧、Mikazuki,是,普通,Normal,重樱,Sakura Empire,驱逐,DD,睦月级,Mutsuki,无法建造,无活动,No Event
海风,菪、Umikaze,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,白露级,Shiratsuyu,00:25:00,2021-09-16 碧海光粼,2021-09-16 Upon the Shimmering Blue
山风,杣、Yamakaze,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,白露级,Shiratsuyu,无法建造,2021-09-16 碧海光粼,2021-09-16 Upon the Shimmering Blue
江风,茳、Kawakaze,是,超稀有,Super Rare,重樱,Sakura Empire,驱逐,DD,白露级,Shiratsuyu,无法建造,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
清波,棈、Kiyonami,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,夕云级,Yuugumo,00:27:00,无活动,No Event
新月JP,枥、Niizuki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,秋月级,Akizuki,无法建造,无活动,No Event
春月,桸、Harutsuki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,秋月级,Akizuki,无法建造,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
宵月,楛、Yoizuki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,秋月级,Akizuki,无法建造,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
浦风,槆、Urakaze,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,00:27:00,无活动,No Event
矶风,柉、Isokaze,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,00:27:00,无活动,No Event
滨风,樇、Hamakaze,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,00:27:00,2017-12-01 归来与新生,2017-12-01 The Return of the War God
谷风,栭、Tanikaze,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,阳炎级,Kagerou,00:27:00,无活动,No Event
朝潮,棹、Asashio,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,朝潮级,Asashio,00:28:00,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
大潮,荙、Ōshio、Ooshio,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,朝潮级,Asashio,00:28:00,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
满潮,樠、Michishio,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,朝潮级,Asashio,无法建造,无活动,No Event
荒潮,栘、Arashio,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,朝潮级,Asashio,无法建造,无活动,No Event
浦波,朴、Uranami,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,吹雪级,Fubuki,无法建造,2020-01-21 战斗！皇家女仆队2nd,2020-01-21 Spring Festival
旗风,樋、Hatakaze,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,神风级,Kamikaze,00:20:00,2018-12-27 苍红的回响,2018-12-27 Crimson Echoes
卷波,棬、Makinami,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,夕云级,Yuugumo,无法建造,2018-12-27 苍红的回响,2018-12-27 Crimson Echoes
霞,蕸、Kasumi,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,朝潮级,Asashio,00:28:00,2019-12-26 浮樱影华,2019-12-26 Swirling Cherry Blossoms
花月,榵、Hanazuki,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,秋月级,Akizuki,00:29:00,2020-04-23 复刻：苍红的回响,2020-04-23 Crimson Echoes Rerun
长波,苌、Naganami,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,夕云级,Yuugumo,00:27:00,2020-04-23 复刻：苍红的回响,2020-04-23 Crimson Echoes Rerun
凉月,栎、Suzutsuki,是,超稀有,Super Rare,重樱,Sakura Empire,驱逐,DD,秋月级,Akizuki,00:29:00,2020-09-17 蝶海梦花,2020-09-17 Dreamwaker's Butterfly
